#{"t_start": 1789708312.118484, "env_id": "None"}
r,l,t
-162.023375,300,944.762385
-175.856842,300,947.727713
-194.3679,300,950.807628
-136.041138,300,953.065746
-174.277563,300,956.097614
-110.188817,300,958.042724
-159.858384,300,960.678226
-94.6307,300,962.401581
-60.311358,300,963.918473
-117.218484,300,966.362512
-67.235292,300,968.006769
-143.318158,300,970.489961
-135.272671,300,972.375243
-52.008071,300,973.689704
-112.674779,300,975.659549
-132.139634,300,977.622067
-59.959658,300,979.061409
-90.307684,300,980.761141
-152.248467,300,983.284957
-137.955092,300,985.059369
-152.7685,300,987.642707
-44.737663,300,988.975385
-121.917125,300,990.652549
-107.3169,300,992.275566
-131.559346,300,994.098765
-176.629142,300,996.917442
-54.936213,300,998.581415
-163.48938,300,1000.694365
-112.569671,300,1002.582653
-157.004092,300,1004.781187
-80.985246,300,1006.274628
-140.107179,300,1008.592089
-54.895554,300,1010.325881
-180.465646,300,1013.044081
-118.811929,300,1015.045709
-119.398471,300,1017.113895
-115.603217,300,1019.192175
-126.517505,300,1021.140404
-83.383283,300,1022.911788
-138.549288,300,1025.490428
-120.508108,300,1027.453673
-108.746038,300,1029.304921
-114.195338,300,1031.305489
-128.949767,300,1033.847845
-127.786967,300,1036.499512
-137.972779,300,1038.72339
-133.789758,300,1040.990065
-103.0028,300,1043.334173
-71.114842,300,1045.139902
-114.705642,300,1047.271307
-82.74705,300,1049.074969
-87.212579,300,1050.983283
-116.843563,300,1053.057231
-118.89585,300,1055.361279
-115.298384,300,1057.800418
-131.171488,300,1060.149887
-65.690317,300,1062.026535
-134.737621,300,1064.310151
-168.346784,300,1067.164084
-104.588521,300,1069.006097
-88.244567,300,1070.73676
-138.635054,300,1072.886317
-132.601863,300,1075.545754
-79.041946,300,1077.221237
-131.594833,300,1079.340013
-116.716104,300,1081.558678
-134.670259,300,1084.046928
-89.614292,300,1085.68226
-71.658021,300,1087.71414
-105.016834,300,1090.15713
-132.968396,300,1092.911848
-102.526696,300,1095.036898
-137.196463,300,1097.386088
-129.728671,300,1100.019312
-121.685413,300,1102.470715
-128.137038,300,1104.981984
-86.256271,300,1106.79222
-75.271871,300,1108.58292
-73.662371,300,1110.22054
-108.686883,300,1112.845907
-88.154708,300,1114.663179
-98.486421,300,1116.803633
-142.793613,300,1119.484664
-125.872125,300,1122.080015
-109.740792,300,1124.571687
-175.845754,300,1128.09119
-116.747792,300,1130.315241
-114.549867,300,1132.589633
-68.685404,300,1134.400595
-137.083284,300,1136.614985
-84.446138,300,1138.62252
-151.801225,300,1141.310807
-145.104763,300,1143.771821
-110.953429,300,1146.018631
-149.68773,300,1148.758679
-104.93845,300,1151.106666
-130.4089,300,1153.630189
-123.159629,300,1155.880341
-75.041121,300,1157.645583
-76.347254,300,1159.769637
-72.670804,300,1161.784299
-93.173042,300,1163.67275
-110.85873,300,1165.70444
-74.463975,300,1167.305825
-86.5676,300,1169.419578
-151.909379,300,1172.081859
-147.145454,300,1175.052766
-106.437588,300,1177.421991
-129.44495,300,1180.344318
-156.898646,300,1183.245538
-119.825634,300,1185.856721
-106.173508,300,1187.974848
-92.551621,300,1190.427
-99.9336,300,1192.893563
-62.836429,300,1194.797256
-127.419409,300,1197.709464
-78.02815,300,1200.257754
-98.839567,300,1202.4636
-99.2556,300,1204.899176
-163.135371,300,1207.629774
-147.119775,300,1210.567272
-102.927975,300,1212.898333
-89.321963,300,1214.935256
-118.919392,300,1217.400326
-95.9487,300,1219.283058
-76.102608,300,1221.079749
-121.94228,300,1223.547425
-112.822042,300,1225.55277
-125.106796,300,1228.058319
-150.038842,300,1230.769206
-106.0931,300,1232.772635
-90.547596,300,1234.71673
-143.897704,300,1237.252185
-132.679321,300,1239.755031
-114.828867,300,1241.93884
-90.812009,300,1244.070579
-116.726442,300,1246.129107
-133.0692,300,1248.59187
-55.735321,300,1250.061347
-111.459688,300,1252.665216
-121.397355,300,1254.925359
-120.401409,300,1257.190236
-126.550817,300,1259.680494
-103.164625,300,1261.676575
-140.779388,300,1264.492246
-127.462934,300,1266.769196
-129.584404,300,1269.090852
-131.433308,300,1271.484059
-76.59635,300,1273.887028
-139.450367,300,1276.330408
-86.04225,300,1278.320884
-141.00473,300,1280.966573
-124.758158,300,1283.291032
-109.786525,300,1285.810565
-81.814417,300,1287.577556
-107.582942,300,1290.043192
-151.078217,300,1293.044972
-135.20795,300,1295.515702
-145.276367,300,1298.129724
-90.392463,300,1299.806599
-118.001783,300,1301.972863
-159.416438,300,1304.62116
-124.671725,300,1306.631088
-65.336683,300,1308.127283
-123.094196,300,1310.384435
-122.760283,300,1312.720864
-156.194634,300,1315.803099
-107.119596,300,1318.298026
-109.367529,300,1320.304993
-106.662192,300,1322.450983
-134.821938,300,1325.160664
-150.618038,300,1327.603892
-125.728292,300,1330.188082
